Payment Id,Ticket Id,Payment Date,Amount,Payment Method,Payment Status
1,1,2024-06-04,159.9,Net Banking,Failed
2,2,2024-11-29,13.52,Credit Card,Failed
3,3,2023-05-11,25.34,Smart Card,Pending
4,4,2025-01-07,181.16,Smart Card,Failed
5,5,2023-12-18,112.48,Smart Card,Success
6,6,2023-12-03,12.8,Smart Card,Failed
7,7,2024-07-27,98.32,UPI,Pending
8,8,2024-05-24,114.01,Credit Card,Success
9,9,2024-01-13,106.27,Smart Card,Pending
10,10,2025-05-08,65.22,Smart Card,Success
11,11,2025-08-16,100.46,Debit Card,Failed
12,12,2025-03-05,47.98,Smart Card,Pending
13,13,2023-01-10,55.38,Net Banking,Pending
14,14,2023-10-26,133.11,Credit Card,Failed
15,15,2024-11-30,162.75,UPI,Success
16,16,2023-06-13,49.33,Credit Card,Pending
17,17,2023-11-13,55.35,Net Banking,Success
18,18,2024-02-10,147.97,UPI,Failed
19,19,2025-03-11,47.19,UPI,Pending
20,20,2023-07-09,51.51,Credit Card,Success
21,21,2025-09-09,59.42,Net Banking,Success
22,22,2023-05-02,28.39,Net Banking,Success
23,23,2023-01-31,86.12,Net Banking,Failed
24,24,2025-07-12,123.51,Debit Card,Failed
25,25,2024-04-08,119.04,Net Banking,Failed
26,26,2023-06-17,149.91,Net Banking,Success
27,27,2024-07-08,53.03,Smart Card,Failed
28,28,2024-06-13,170.74,UPI,Success
29,29,2024-11-16,125.2,Credit Card,Success
30,30,2023-09-05,58.59,Net Banking,Success
31,31,2024-09-25,167.74,UPI,Success
32,32,2024-04-08,181.58,Smart Card,Success
33,33,2023-06-12,140.75,UPI,Pending
34,34,2025-06-02,136.08,Credit Card,Success
35,35,2025-05-11,185.43,Net Banking,Pending
36,36,2024-11-20,74.95,Smart Card,Success
37,37,2024-04-14,113.98,Smart Card,Pending
38,38,2025-05-03,109.16,Credit Card,Success
39,39,2024-01-12,190.78,Credit Card,Pending
40,40,2023-04-01,94.59,UPI,Success
41,41,2023-01-13,82.92,Net Banking,Pending
42,42,2025-06-25,44.92,Credit Card,Success
43,43,2024-11-01,167.98,UPI,Success
44,44,2024-09-03,140.2,Credit Card,Pending
45,45,2025-09-03,62.53,Credit Card,Failed
46,46,2025-02-04,52.4,Net Banking,Success
47,47,2025-06-18,151.17,Net Banking,Pending
48,48,2025-02-17,12.6,Credit Card,Pending
49,49,2025-06-14,115.81,Credit Card,Success
50,50,2024-03-31,99.16,Net Banking,Pending
51,51,2024-05-16,95.7,Smart Card,Pending
52,52,2025-04-08,163.43,Debit Card,Pending
53,53,2025-03-10,198.34,Credit Card,Success
54,54,2024-03-08,164.34,Credit Card,Failed
55,55,2023-01-09,15.36,Debit Card,Pending
56,56,2023-04-13,123.68,UPI,Success
57,57,2024-07-22,188.03,Smart Card,Success
58,58,2023-01-07,55.77,UPI,Failed
59,59,2024-12-24,57.28,Credit Card,Failed
60,60,2024-12-26,79.12,Debit Card,Success
61,61,2023-06-21,57.49,UPI,Pending
62,62,2024-10-28,44.99,Smart Card,Success
63,63,2025-03-14,28.61,Credit Card,Pending
64,64,2025-08-03,160.52,Credit Card,Success
65,65,2025-07-24,56.39,UPI,Failed
66,66,2024-03-05,66.36,UPI,Pending
67,67,2025-08-19,182.12,Debit Card,Failed
68,68,2025-02-27,75.3,Debit Card,Success
69,69,2024-02-29,71.58,Credit Card,Failed
70,70,2023-11-17,197.12,Smart Card,Failed
71,71,2025-02-15,13.96,Credit Card,Pending
72,72,2023-08-13,147.7,Net Banking,Success
73,73,2025-03-25,67.3,Smart Card,Pending
74,74,2023-03-20,64.07,Net Banking,Success
75,75,2024-05-22,125.58,UPI,Success
76,76,2023-03-05,14.85,Debit Card,Failed
77,77,2025-05-27,112.1,UPI,Failed
78,78,2025-04-15,129.65,UPI,Success
79,79,2025-07-07,20.07,Credit Card,Success
80,80,2023-11-15,134.14,Debit Card,Success
81,81,2023-08-07,87.27,Debit Card,Failed
82,82,2025-06-06,182.55,Debit Card,Failed
83,83,2023-01-01,24.01,Debit Card,Failed
84,84,2023-12-15,52.73,Net Banking,Pending
85,85,2024-12-20,57.89,Credit Card,Success
86,86,2024-09-04,10.42,Credit Card,Success
87,87,2024-02-10,167.98,Smart Card,Failed
88,88,2025-04-23,163.53,UPI,Success
89,89,2023-05-01,104.13,Credit Card,Pending
90,90,2025-03-26,142.93,UPI,Pending
91,91,2024-03-14,69.98,Debit Card,Success
92,92,2023-09-13,186.72,Debit Card,Success
93,93,2025-07-11,154.38,Net Banking,Failed
94,94,2023-02-03,52.46,Debit Card,Pending
95,95,2025-04-26,83.99,Smart Card,Failed
96,96,2023-07-29,177.28,Smart Card,Pending
97,97,2023-03-15,86.9,Net Banking,Success
98,98,2024-01-14,45.36,Net Banking,Failed
99,99,2023-09-19,187.93,UPI,Failed
100,100,2023-02-01,47.25,Smart Card,Failed
101,101,2024-08-09,28.37,Debit Card,Success
102,102,2024-03-20,63.02,Credit Card,Failed
103,103,2023-02-27,164.1,Smart Card,Failed
104,104,2023-01-20,58.28,UPI,Failed
105,105,2024-11-19,157.99,Debit Card,Success
106,106,2023-03-28,125.65,Smart Card,Success
107,107,2024-12-29,26.78,Debit Card,Success
108,108,2023-07-07,35.96,Smart Card,Success
109,109,2024-12-03,42.36,Net Banking,Success
110,110,2025-08-10,136.73,Smart Card,Pending
111,111,2023-04-21,186.75,Net Banking,Pending
112,112,2024-11-20,55.1,Debit Card,Success
113,113,2025-03-21,173.93,Net Banking,Failed
114,114,2024-06-30,142.63,Smart Card,Pending
115,115,2025-05-05,15.55,UPI,Pending
116,116,2023-07-28,90.1,UPI,Success
117,117,2025-02-03,46.59,Credit Card,Failed
118,118,2025-06-21,119.94,Smart Card,Success
119,119,2024-04-02,51.72,Debit Card,Failed
120,120,2024-10-09,138.2,Debit Card,Success
121,121,2025-01-28,146.99,Credit Card,Success
122,122,2024-10-01,191.26,UPI,Success
123,123,2024-03-22,133.87,Debit Card,Pending
124,124,2023-04-02,134.68,Smart Card,Success
125,125,2023-06-18,46.49,Credit Card,Pending
126,126,2024-05-07,32.35,Net Banking,Failed
127,127,2025-01-20,117.29,UPI,Success
128,128,2025-09-19,198.58,Smart Card,Success
129,129,2024-05-15,12.06,Credit Card,Success
