Card Id,Passenger Id,Card Number,Issue Date,Balance,Status
1,2286,SC00000001,2022-01-20,1455.17,Blocked
2,6220,SC00000002,2024-01-26,2155.1,Active
3,8318,SC00000003,2026-02-09,1285.7,Active
4,6371,SC00000004,2023-12-23,725.9,Blocked
5,6667,SC00000005,2024-09-15,645.34,Blocked
6,2972,SC00000006,2025-02-15,366.62,Active
7,9224,SC00000007,2024-02-12,1947.72,Active
8,326,SC00000008,2025-05-29,76.25,Active
9,8415,SC00000009,2023-04-08,2907.89,Blocked
10,7795,SC00000010,2023-02-03,977.39,Active
11,7912,SC00000011,2022-05-29,351.71,Active
12,8317,SC00000012,2022-01-03,2084.84,Active
13,3789,SC00000013,2023-04-18,1845.95,Blocked
14,6962,SC00000014,2023-08-05,1271.36,Active
15,2652,SC00000015,2023-07-03,1067.81,Active
16,7928,SC00000016,2024-02-04,1944,Blocked
17,5181,SC00000017,2022-10-12,418.04,Active
18,8630,SC00000018,2023-05-06,1757.83,Expired
19,2114,SC00000019,2024-12-20,589.21,Blocked
20,6698,SC00000020,2025-03-29,1321.56,Active
21,8364,SC00000021,2022-11-24,2926.41,Blocked
22,1890,SC00000022,2022-06-19,715.29,Active
23,6838,SC00000023,2022-10-15,751.29,Blocked
24,7944,SC00000024,2022-04-28,1429.29,Blocked
25,5757,SC00000025,2025-07-30,2381.83,Blocked
26,1151,SC00000026,2024-04-08,822.33,Active
27,8580,SC00000027,2022-12-04,1333.32,Active
28,8155,SC00000028,2025-02-17,1925.76,Blocked
29,3164,SC00000029,2022-02-15,1240.37,Expired
30,7559,SC00000030,2025-04-28,2261.6,Expired
31,6551,SC00000031,2022-06-14,1360.93,Active
32,680,SC00000032,2023-01-17,400.68,Blocked
33,1609,SC00000033,2022-09-10,2187.66,Expired
34,3972,SC00000034,2024-06-11,639.13,Expired
35,729,SC00000035,2026-01-13,2238.11,Expired
36,9050,SC00000036,2023-02-28,1913,Expired
37,3489,SC00000037,2024-06-22,1631.23,Active
38,9954,SC00000038,2022-10-24,2747.78,Active
39,2428,SC00000039,2025-09-16,1692.59,Expired
40,4377,SC00000040,2023-02-10,361.12,Active
41,9685,SC00000041,2023-06-26,1346.12,Expired
42,6768,SC00000042,2025-12-31,2934.22,Active
43,1269,SC00000043,2025-07-16,1933.49,Blocked
44,1484,SC00000044,2022-11-07,2009.28,Blocked
45,4838,SC00000045,2023-10-25,2225.15,Expired
46,7200,SC00000046,2024-07-16,1071.87,Active
47,6838,SC00000047,2025-02-21,2124.57,Blocked
48,7849,SC00000048,2025-07-03,274.53,Active
49,6140,SC00000049,2023-11-03,388.04,Active
50,2052,SC00000050,2022-01-29,777.8,Blocked
51,2689,SC00000051,2023-10-15,2109.66,Active
52,5670,SC00000052,2022-08-22,1586.68,Expired
53,2263,SC00000053,2024-05-06,151.82,Expired
54,663,SC00000054,2022-03-22,1958.37,Expired
55,592,SC00000055,2025-11-13,1805.46,Active
56,6254,SC00000056,2025-12-03,1238.14,Active
57,5413,SC00000057,2022-01-18,2414.14,Active
58,7347,SC00000058,2025-02-02,343.97,Expired
59,1570,SC00000059,2024-11-01,2256.14,Active
60,8356,SC00000060,2023-06-26,292.82,Blocked
61,1133,SC00000061,2024-06-01,1955.91,Expired
62,9106,SC00000062,2025-08-16,2502.85,Blocked
63,9951,SC00000063,2024-07-28,2339.13,Blocked
64,7351,SC00000064,2025-10-10,1160.22,Active
65,8512,SC00000065,2025-08-22,2359.2,Blocked
66,1137,SC00000066,2024-06-17,2804.32,Expired
67,573,SC00000067,2022-09-16,1445.3,Blocked
68,5038,SC00000068,2024-01-28,523.29,Active
69,7140,SC00000069,2022-10-16,108.64,Blocked
70,7233,SC00000070,2024-07-06,2863.6,Active
71,9479,SC00000071,2024-10-15,2277.81,Expired
72,9143,SC00000072,2025-07-23,2297.24,Blocked
73,9063,SC00000073,2025-01-27,933.21,Active
74,2895,SC00000074,2024-08-16,2007.63,Expired
75,9077,SC00000075,2025-11-13,51,Blocked
76,1513,SC00000076,2026-01-23,607.9,Blocked
77,1471,SC00000077,2023-06-29,2116.42,Expired
78,7107,SC00000078,2023-06-11,1771.77,Expired
79,8795,SC00000079,2022-05-17,2731.16,Expired
80,1752,SC00000080,2023-08-06,1637.21,Blocked
81,1559,SC00000081,2022-06-14,2911.57,Blocked
82,5750,SC00000082,2024-03-27,2061.02,Blocked
83,5185,SC00000083,2024-10-20,115.4,Active
84,8403,SC00000084,2024-05-30,2058.62,Expired
