Ticket Id,Passenger Id,Source Station Id,Destination Station Id,Journey Date,Fare,Ticket Type
1,6478,71,103,2025-03-18,13.59,Single Journey
2,6138,156,154,2025-05-21,188.44,Return Journey
3,7450,196,224,2024-12-26,50.43,Single Journey
4,9413,129,166,2023-01-18,98.36,Single Journey
5,6666,36,103,2025-02-21,71.75,Single Journey
6,5518,232,4,2023-03-10,105.05,Daily Pass
7,2359,124,158,2023-08-31,168.98,Return Journey
8,2812,55,202,2024-01-28,64.91,Single Journey
9,8608,208,39,2023-05-13,192.11,Daily Pass
10,7520,242,244,2023-08-13,119.62,Return Journey
11,4636,72,51,2023-10-12,159.34,Return Journey
12,5567,118,137,2025-03-14,173.04,Return Journey
13,1551,83,193,2023-07-15,34.66,Single Journey
14,214,237,55,2023-05-21,51.68,Daily Pass
15,125,68,160,2023-07-07,48.97,Single Journey
16,6001,217,73,2025-02-15,80.82,Single Journey
17,2303,71,212,2024-01-28,130.24,Single Journey
18,2844,130,168,2023-10-05,80.36,Single Journey
19,824,242,24,2024-04-04,36.41,Single Journey
20,8499,81,235,2023-06-23,101.49,Return Journey
21,6951,85,233,2023-01-26,24.94,Return Journey
22,3242,215,50,2025-09-05,65.65,Daily Pass
23,4394,70,71,2025-04-17,58.41,Daily Pass
24,3502,3,126,2024-12-12,197.57,Daily Pass
25,7275,170,246,2024-10-14,195.47,Single Journey
26,8561,210,219,2023-09-18,127.05,Single Journey
27,5524,193,91,2023-07-14,145.71,Daily Pass
28,3816,138,171,2023-06-15,92.69,Return Journey
29,8791,207,176,2025-01-21,199.61,Return Journey
30,6158,51,64,2023-08-03,102.2,Single Journey
31,5999,174,108,2023-08-06,92.69,Single Journey
32,4295,51,96,2024-02-27,55.07,Return Journey
33,4971,195,139,2025-05-16,23.94,Single Journey
34,1518,42,183,2023-03-03,77.44,Single Journey
35,729,218,184,2023-12-03,79.11,Return Journey
36,9311,177,241,2023-04-20,21.66,Return Journey
37,8454,70,121,2025-07-12,72.19,Single Journey
38,166,197,64,2023-12-13,40.84,Single Journey
39,9219,125,70,2025-05-04,186.15,Single Journey
40,9482,48,73,2025-04-16,61.56,Return Journey
41,897,68,114,2024-07-19,143.56,Daily Pass
42,8118,98,59,2025-03-19,119.55,Single Journey
43,3179,208,141,2025-01-31,134.87,Return Journey
44,5043,156,230,2024-04-17,150.33,Return Journey
45,2670,11,159,2025-05-17,167.26,Daily Pass
46,2890,78,134,2023-03-01,96.21,Single Journey
47,3271,161,46,2023-04-13,72.09,Single Journey
48,1632,48,154,2023-09-28,18.11,Single Journey
49,1232,222,148,2025-02-14,40.86,Single Journey
50,2047,175,56,2024-10-29,95.32,Daily Pass
51,2686,90,52,2023-02-24,173.5,Return Journey
52,9160,184,233,2025-08-14,144.86,Return Journey
53,9903,120,202,2024-05-11,23.28,Daily Pass
54,1103,215,28,2024-05-20,34.29,Return Journey
55,8241,50,64,2024-09-08,14.08,Return Journey
